algorithm,fold,name,k,value,seed,dataset_id
LensKit.ImplicitMFScorer-f0dd7ecb-11,,NDCG,10,0.14742089748640688,11,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-11,,HR,10,0.7529162248144221,11,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-11,,Recall,10,0.205219747849652,11,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-11,,NDCG,10,0.17476904399735685,11,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-11,,HR,10,0.7635206786850477,11,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-11,,Recall,10,0.22417352589674916,11,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-11,,NDCG,10,0.11952521693661076,11,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-11,,HR,10,0.6362672322375398,11,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-11,,Recall,10,0.14388013600632882,11,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-11,,NDCG,10,0.14742089748640688,22,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-11,,HR,10,0.7529162248144221,22,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-11,,Recall,10,0.205219747849652,22,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-11,,NDCG,10,0.17476904399735685,22,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-11,,HR,10,0.7635206786850477,22,MovieLens100K-08d57673
LensKit.ItemKNNScorer-c3d66610-11,,Recall,10,0.22417352589674916,22,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-11,,NDCG,10,0.11952521693661076,22,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-11,,HR,10,0.6362672322375398,22,MovieLens100K-08d57673
LensKit.PopScorer-f4aa5539-11,,Recall,10,0.14388013600632882,22,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-22,,NDCG,10,0.14194221136766416,22,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-22,,HR,10,0.7444326617179216,22,MovieLens100K-08d57673
LensKit.ImplicitMFScorer-f0dd7ecb-22,,Recall,10,0.19385404568331333,22,MovieLens100K-08d57673
