Position,Timestamp,Model,Prompt Tokens,Prompt USD,Completion Tokens,Completion USD,Total Tokens,Total USD
1,2026-05-26 09:26:38,gpt-5.4-mini,11483,0.00861225,99,0.0004455,11582,0.00905775
2,2026-05-26 09:26:51,gpt-5.4-mini,6819,0.005114250000000001,451,0.0020295,7270,0.007143750000000001
3,2026-05-26 09:26:57,gpt-5.4-mini,8304,0.006228000000000001,293,0.0013185,8597,0.007546500000000001
4,2026-05-26 09:27:19,gpt-5.4-mini,48813,0.03660975,1766,0.007947,50579,0.044556750000000006
5,2026-05-26 09:32:17,gpt-5.4-mini,2391,0.00179325,122,0.000549,2513,0.0023422499999999997
6,2026-05-26 09:32:22,gpt-5.4-mini,8090,0.0060675,164,0.000738,8254,0.0068055
7,2026-05-26 09:32:27,gpt-5.4-mini,5569,0.00417675,144,0.000648,5713,0.00482475
8,2026-05-26 09:32:29,gpt-5.4-mini,2362,0.0017715,49,0.0002205,2411,0.001992
9,2026-05-26 09:32:34,gpt-5.4-mini,6854,0.0051405,112,0.000504,6966,0.0056445
10,2026-05-26 09:32:35,gpt-5.4-mini,2358,0.0017684999999999999,54,0.000243,2412,0.0020115
11,2026-05-26 09:32:37,gpt-5.4-mini,2357,0.0017677500000000002,52,0.000234,2409,0.00200175
12,2026-05-26 09:32:38,gpt-5.4-mini,2357,0.0017677500000000002,60,0.00027,2417,0.00203775
13,2026-05-26 09:32:39,gpt-5.4-mini,2364,0.0017730000000000003,53,0.0002385,2417,0.0020115000000000003
14,2026-05-26 09:32:41,gpt-5.4-mini,2358,0.0017684999999999999,44,0.000198,2402,0.0019665
15,2026-05-26 09:32:42,gpt-5.4-mini,2370,0.0017775,58,0.000261,2428,0.0020385
16,2026-05-26 09:33:00,gpt-5.4-mini,32102,0.0240765,1535,0.0069075,33637,0.030984
17,2026-05-26 09:37:26,gpt-5.4-mini,2196,0.001647,24,0.000108,2220,0.001755
18,2026-05-26 09:37:28,gpt-5.4-mini,2170,0.0016275,67,0.0003015,2237,0.0019290000000000002
19,2026-05-26 09:37:33,gpt-5.4-mini,6615,0.00496125,120,0.00054,6735,0.00550125
20,2026-05-26 09:37:38,gpt-5.4-mini,7918,0.005938499999999999,156,0.0007019999999999999,8074,0.006640499999999999
21,2026-05-26 09:37:40,gpt-5.4-mini,2165,0.0016237499999999998,59,0.0002655,2224,0.0018892499999999999
22,2026-05-26 09:37:42,gpt-5.4-mini,2163,0.00162225,56,0.000252,2219,0.00187425
23,2026-05-26 09:37:43,gpt-5.4-mini,2162,0.0016215,72,0.000324,2234,0.0019455
24,2026-05-26 09:37:44,gpt-5.4-mini,2162,0.0016215,60,0.00027,2222,0.0018915
25,2026-05-26 09:37:46,gpt-5.4-mini,2169,0.00162675,50,0.00022500000000000002,2219,0.0018517499999999999
26,2026-05-26 09:37:47,gpt-5.4-mini,2163,0.00162225,52,0.000234,2215,0.00185625
27,2026-05-26 09:37:48,gpt-5.4-mini,2175,0.0016312499999999999,54,0.000243,2229,0.0018742499999999998
28,2026-05-26 09:38:07,gpt-5.4-mini,29873,0.02240475,1691,0.0076095,31564,0.03001425
29,2026-05-26 09:39:10,gpt-5.4-mini,2205,0.0016537499999999998,24,0.000108,2229,0.0017617499999999999
30,2026-05-26 09:39:15,gpt-5.4-mini,8107,0.00608025,157,0.0007065,8264,0.006786749999999999
31,2026-05-26 09:39:20,gpt-5.4-mini,6436,0.004827,126,0.000567,6562,0.0053939999999999995
32,2026-05-26 09:39:22,gpt-5.4-mini,2176,0.001632,51,0.0002295,2227,0.0018614999999999999
33,2026-05-26 09:39:27,gpt-5.4-mini,6567,0.00492525,123,0.0005535000000000001,6690,0.00547875
34,2026-05-26 09:39:29,gpt-5.4-mini,2172,0.0016289999999999998,53,0.0002385,2225,0.0018674999999999998
35,2026-05-26 09:39:30,gpt-5.4-mini,2171,0.0016282500000000001,52,0.000234,2223,0.0018622500000000002
36,2026-05-26 09:39:31,gpt-5.4-mini,2171,0.0016282500000000001,58,0.000261,2229,0.00188925
37,2026-05-26 09:39:32,gpt-5.4-mini,2178,0.0016335,46,0.000207,2224,0.0018405
38,2026-05-26 09:39:34,gpt-5.4-mini,2172,0.0016289999999999998,48,0.000216,2220,0.0018449999999999999
39,2026-05-26 09:39:35,gpt-5.4-mini,2184,0.0016380000000000001,68,0.000306,2252,0.0019440000000000002
40,2026-05-26 09:39:53,gpt-5.4-mini,35477,0.02660775,1537,0.0069165,37014,0.03352425
41,2026-05-26 09:40:56,gpt-5.4-mini,2208,0.001656,24,0.000108,2232,0.001764
42,2026-05-26 09:40:58,gpt-5.4-mini,2182,0.0016365,66,0.000297,2248,0.0019334999999999999
43,2026-05-26 09:40:59,gpt-5.4-mini,2186,0.0016395,66,0.000297,2252,0.0019364999999999999
44,2026-05-26 09:41:00,gpt-5.4-mini,2179,0.0016342499999999999,51,0.0002295,2230,0.00186375
45,2026-05-26 09:41:02,gpt-5.4-mini,2177,0.00163275,53,0.0002385,2230,0.00187125
46,2026-05-26 09:41:03,gpt-5.4-mini,2175,0.0016312499999999999,63,0.0002835,2238,0.0019147499999999998
47,2026-05-26 09:41:05,gpt-5.4-mini,2174,0.0016305,67,0.0003015,2241,0.0019320000000000001
48,2026-05-26 09:41:06,gpt-5.4-mini,2174,0.0016305,53,0.0002385,2227,0.001869
49,2026-05-26 09:41:07,gpt-5.4-mini,2181,0.00163575,52,0.000234,2233,0.00186975
50,2026-05-26 09:41:09,gpt-5.4-mini,2175,0.0016312499999999999,44,0.000198,2219,0.00182925
51,2026-05-26 09:41:10,gpt-5.4-mini,2187,0.0016402500000000002,54,0.000243,2241,0.0018832500000000002
