Position,Timestamp,Model,Prompt Tokens,Prompt USD,Completion Tokens,Completion USD,Total Tokens,Total USD
1,2026-07-10 17:12:19,gpt-5.4-mini,4816,0.0036119999999999998,25,0.00011250000000000001,4841,0.0037245
2,2026-07-10 17:12:28,gpt-5.4-mini,5267,0.00395025,417,0.0018765,5684,0.0058267499999999995
3,2026-07-10 17:12:36,gpt-5.4-mini,9310,0.006982500000000001,360,0.0016200000000000001,9670,0.0086025
4,2026-07-10 17:12:57,gpt-5.4-mini,31556,0.023667,1630,0.0073349999999999995,33186,0.031002000000000002
5,2026-07-10 17:13:03,gpt-5.4-mini,1403,0.00105225,859,0.0038655,2262,0.00491775
6,2026-07-10 17:13:12,gpt-5.4-mini,6307,0.00473025,1040,0.004679999999999999,7347,0.009410249999999998
7,2026-07-10 17:13:33,gpt-5.4-mini,7111,0.00533325,231,0.0010395,7342,0.00637275
8,2026-07-10 17:13:38,gpt-5.4-mini,5659,0.00424425,121,0.0005445,5780,0.00478875
9,2026-07-10 17:13:39,gpt-5.4-mini,2211,0.00165825,51,0.0002295,2262,0.00188775
10,2026-07-10 17:13:40,gpt-5.4-mini,2207,0.00165525,67,0.0003015,2274,0.00195675
11,2026-07-10 17:13:42,gpt-5.4-mini,2205,0.0016537499999999998,61,0.0002745,2266,0.0019282499999999998
12,2026-07-10 17:13:44,gpt-5.4-mini,2200,0.00165,67,0.0003015,2267,0.0019515000000000001
13,2026-07-10 17:13:49,gpt-5.4-mini,6290,0.0047174999999999995,110,0.000495,6400,0.005212499999999999
14,2026-07-10 17:13:50,gpt-5.4-mini,2205,0.0016537499999999998,49,0.0002205,2254,0.0018742499999999998
15,2026-07-10 17:13:51,gpt-5.4-mini,2205,0.0016537499999999998,57,0.0002565,2262,0.0019102499999999998
16,2026-07-10 17:13:52,gpt-5.4-mini,2201,0.0016507499999999999,57,0.0002565,2258,0.0019072499999999999
17,2026-07-10 17:13:54,gpt-5.4-mini,2200,0.00165,74,0.00033299999999999996,2274,0.001983
18,2026-07-10 17:14:14,gpt-5.4-mini,37400,0.028050000000000002,1730,0.007785,39130,0.035835000000000006
