Position,Timestamp,Model,Prompt Tokens,Prompt USD,Completion Tokens,Completion USD,Total Tokens,Total USD
1,2026-06-03 11:51:58,gpt-5.4,4854,0.012135,25,0.000375,4879,0.01251
2,2026-06-03 11:52:06,gpt-5.4,748,0.00187,410,0.00615,1158,0.00802
3,2026-06-03 11:52:21,gpt-5.4,7236,0.018090000000000002,358,0.00537,7594,0.02346
4,2026-06-03 11:53:10,gpt-5.4,58489,0.1462225,3022,0.04533,61511,0.19155250000000001
5,2026-06-03 11:58:07,gpt-5.4,9556,0.02389,331,0.004965000000000001,9887,0.028855000000000002
6,2026-06-03 11:58:14,gpt-5.4,9597,0.0239925,148,0.0022199999999999998,9745,0.0262125
7,2026-06-03 11:58:17,gpt-5.4,3349,0.0083725,61,0.000915,3410,0.0092875
8,2026-06-03 11:58:18,gpt-5.4,3354,0.008385,56,0.00084,3410,0.009225
9,2026-06-03 11:58:24,gpt-5.4,9022,0.022555000000000002,92,0.00138,9114,0.023935
10,2026-06-03 11:58:30,gpt-5.4,9412,0.023530000000000002,127,0.001905,9539,0.025435000000000003
11,2026-06-03 11:58:35,gpt-5.4,8644,0.02161,113,0.001695,8757,0.023305
12,2026-06-03 11:58:41,gpt-5.4,8222,0.020555,134,0.00201,8356,0.022565
13,2026-06-03 11:58:49,gpt-5.4,9974,0.024935,187,0.0028049999999999998,10161,0.027739999999999997
14,2026-06-03 11:58:51,gpt-5.4,3358,0.008395,81,0.0012150000000000002,3439,0.00961
15,2026-06-03 11:58:58,gpt-5.4,8019,0.0200475,109,0.0016350000000000002,8128,0.0216825
16,2026-06-03 11:59:04,gpt-5.4,3353,0.008382500000000001,58,0.00087,3411,0.0092525
17,2026-06-03 11:59:06,gpt-5.4,3367,0.008417500000000001,75,0.001125,3442,0.0095425
18,2026-06-03 12:00:02,gpt-5.4,52169,0.1304225,3464,0.05196,55633,0.1823825
19,2026-06-03 12:06:57,gpt-5.4,10341,0.0258525,361,0.005415,10702,0.031267500000000004
20,2026-06-03 12:07:04,gpt-5.4,9878,0.024694999999999998,141,0.002115,10019,0.026809999999999997
21,2026-06-03 12:07:06,gpt-5.4,3822,0.009555,55,0.000825,3877,0.010379999999999999
22,2026-06-03 12:07:07,gpt-5.4,3827,0.0095675,52,0.00078,3879,0.010347499999999999
23,2026-06-03 12:07:09,gpt-5.4,3825,0.0095625,50,0.00075,3875,0.0103125
24,2026-06-03 12:07:15,gpt-5.4,9861,0.0246525,118,0.0017699999999999999,9979,0.0264225
25,2026-06-03 12:07:21,gpt-5.4,9177,0.022942499999999998,108,0.00162,9285,0.024562499999999998
26,2026-06-03 12:07:27,gpt-5.4,9686,0.024215,146,0.00219,9832,0.026405
27,2026-06-03 12:07:34,gpt-5.4,11504,0.02876,180,0.0027,11684,0.03146
28,2026-06-03 12:07:41,gpt-5.4,9843,0.024607499999999997,117,0.001755,9960,0.026362499999999997
29,2026-06-03 12:07:43,gpt-5.4,3825,0.0095625,51,0.000765,3876,0.0103275
30,2026-06-03 12:07:44,gpt-5.4,3826,0.009565,49,0.000735,3875,0.0103
31,2026-06-03 12:07:46,gpt-5.4,3840,0.009600000000000001,72,0.00108,3912,0.01068
32,2026-06-03 12:08:22,gpt-5.4,38382,0.095955,2539,0.038085,40921,0.13404
33,2026-06-03 12:09:48,gpt-5.4,8859,0.0221475,364,0.0054600000000000004,9223,0.0276075
34,2026-06-03 12:09:50,gpt-5.4,3222,0.008055,72,0.00108,3294,0.009134999999999999
35,2026-06-03 12:09:52,gpt-5.4,3212,0.00803,53,0.000795,3265,0.008825000000000001
36,2026-06-03 12:09:53,gpt-5.4,3217,0.0080425,48,0.00072,3265,0.0087625
37,2026-06-03 12:09:56,gpt-5.4,3215,0.0080375,52,0.00078,3267,0.008817499999999999
38,2026-06-03 12:09:57,gpt-5.4,3222,0.008055,64,0.0009599999999999999,3286,0.009014999999999999
39,2026-06-03 12:10:03,gpt-5.4,8368,0.02092,146,0.00219,8514,0.023110000000000002
40,2026-06-03 12:10:08,gpt-5.4,7574,0.018935,112,0.00168,7686,0.020615
41,2026-06-03 12:10:15,gpt-5.4,10586,0.026465,166,0.00249,10752,0.028954999999999998
42,2026-06-03 12:10:17,gpt-5.4,3221,0.0080525,64,0.0009599999999999999,3285,0.0090125
43,2026-06-03 12:10:22,gpt-5.4,7744,0.01936,97,0.001455,7841,0.020815
44,2026-06-03 12:10:24,gpt-5.4,3216,0.00804,59,0.0008849999999999999,3275,0.008925
45,2026-06-03 12:10:26,gpt-5.4,3230,0.008074999999999999,72,0.00108,3302,0.009154999999999998
46,2026-06-03 12:11:01,gpt-5.4,16887,0.0422175,2812,0.042179999999999995,19699,0.08439749999999999
47,2026-06-03 12:17:16,gpt-5.4,3711,0.0092775,24,0.00036,3735,0.009637499999999998
48,2026-06-03 12:17:18,gpt-5.4,3681,0.009202499999999999,58,0.00087,3739,0.010072499999999998
49,2026-06-03 12:17:19,gpt-5.4,3671,0.0091775,69,0.001035,3740,0.0102125
50,2026-06-03 12:17:21,gpt-5.4,3676,0.00919,57,0.0008550000000000001,3733,0.010045
51,2026-06-03 12:17:23,gpt-5.4,3674,0.009185,52,0.00078,3726,0.009965
52,2026-06-03 12:17:25,gpt-5.4,3681,0.009202499999999999,58,0.00087,3739,0.010072499999999998
53,2026-06-03 12:17:31,gpt-5.4,9294,0.023235,139,0.002085,9433,0.02532
54,2026-06-03 12:17:34,gpt-5.4,3682,0.009205,80,0.0012000000000000001,3762,0.010405
55,2026-06-03 12:17:41,gpt-5.4,11890,0.029724999999999998,179,0.002685,12069,0.032409999999999994
56,2026-06-03 12:17:47,gpt-5.4,10734,0.026835,140,0.0021,10874,0.028935000000000002
57,2026-06-03 12:17:48,gpt-5.4,3674,0.009185,53,0.000795,3727,0.009980000000000001
58,2026-06-03 12:17:51,gpt-5.4,3675,0.0091875,53,0.000795,3728,0.0099825
59,2026-06-03 12:17:54,gpt-5.4,3689,0.0092225,59,0.0008849999999999999,3748,0.0101075
60,2026-06-03 12:18:01,gpt-5.4,3806,0.009515,338,0.00507,4144,0.014584999999999999
61,2026-06-03 12:18:45,gpt-5.4,47556,0.11889,3030,0.045450000000000004,50586,0.16433999999999999
62,2026-06-03 12:20:07,gpt-5.4,3594,0.008985,310,0.00465,3904,0.013635
63,2026-06-03 12:20:13,gpt-5.4,10008,0.02502,130,0.00195,10138,0.02697
64,2026-06-03 12:20:15,gpt-5.4,3554,0.008885,56,0.00084,3610,0.009725000000000001
65,2026-06-03 12:20:22,gpt-5.4,9938,0.024845000000000002,103,0.001545,10041,0.026390000000000004
66,2026-06-03 12:20:33,gpt-5.4,9094,0.022735,96,0.00144,9190,0.024175
67,2026-06-03 12:20:39,gpt-5.4,10507,0.026267500000000003,133,0.0019950000000000002,10640,0.028262500000000003
68,2026-06-03 12:20:45,gpt-5.4,8643,0.021607499999999998,126,0.00189,8769,0.023497499999999998
69,2026-06-03 12:20:51,gpt-5.4,8634,0.021585,145,0.002175,8779,0.02376
70,2026-06-03 12:20:59,gpt-5.4,10931,0.027327499999999998,186,0.00279,11117,0.0301175
71,2026-06-03 12:21:05,gpt-5.4,9993,0.0249825,150,0.00225,10143,0.0272325
